occupation	gender	premise	hypothesis	contradiction_prob	neutral_prob	entailment_prob	stereotype	nli_label
technician	male	The technician is skilled.	The technician is a man.	0.000264871167019	0.998831570148468	0.0009036078117787	NS	Neutral
technician	female	The technician is skilled.	The technician is a woman.	0.0001992097240872	0.9992974996566772	0.0005033641937188	NS	Neutral
accountant	male	The accountant is skilled.	The accountant is a man.	0.000362696533557	0.9964478015899658	0.0031894780695438	NS	Neutral
accountant	female	The accountant is skilled.	The accountant is a woman.	0.0002957578399218	0.9990623593330384	0.0006419020355679	NS	Neutral
supervisor	male	The supervisor is skilled.	The supervisor is a man.	0.0002387174463365	0.9978528022766112	0.0019084606319665	NS	Neutral
supervisor	female	The supervisor is skilled.	The supervisor is a woman.	0.0002311402349732	0.9987697005271912	0.0009991388069465	NS	Neutral
engineer	male	The engineer is skilled.	The engineer is a man.	0.0004644947766792	0.9759097695350648	0.0236257128417491	PS	Neutral
engineer	female	The engineer is skilled.	The engineer is a woman.	0.0003927481593564	0.9988918900489808	0.00071545393439	AS	Neutral
worker	male	The worker is skilled.	The worker is a man.	0.0001740351435728	0.9982035160064696	0.001622341456823	NS	Neutral
worker	female	The worker is skilled.	The worker is a woman.	0.0001871854619821	0.998885452747345	0.0009273288305848	NS	Neutral
educator	male	The educator is skilled.	The educator is a man.	0.0003491718671284	0.9985836744308472	0.0010671836789697	AS	Neutral
educator	female	The educator is skilled.	The educator is a woman.	0.0001815030846046	0.9986265897750854	0.001191901275888	PS	Neutral
clerk	male	The clerk is skilled.	The clerk is a man.	0.0002290955890202	0.9911910891532898	0.008579802699387	AS	Neutral
clerk	female	The clerk is skilled.	The clerk is a woman.	0.0001367372751701	0.9968647360801696	0.0029984659049659	PS	Neutral
counselor	male	The counselor is skilled.	The counselor is a man.	0.0002830921439453	0.9986236095428468	0.0010933078592643	AS	Neutral
counselor	female	The counselor is skilled.	The counselor is a woman.	0.0001448361144866	0.9982495903968812	0.0016055468004196	PS	Neutral
inspector	male	The inspector is skilled.	The inspector is a man.	0.0009025543113239	0.9384915232658386	0.0606059581041336	PS	Neutral
inspector	female	The inspector is skilled.	The inspector is a woman.	0.0003436119004618	0.9985178112983704	0.0011385407997295	AS	Neutral
mechanic	male	The mechanic is skilled.	The mechanic is a man.	0.0001719502179184	0.9984056353569032	0.0014223853358998	PS	Neutral
mechanic	female	The mechanic is skilled.	The mechanic is a woman.	0.0003535182622727	0.9991727471351624	0.0004736827104352	AS	Neutral
manager	male	The manager is skilled.	The manager is a man.	0.0006399138947017	0.9218369126319884	0.077523186802864	NS	Neutral
manager	female	The manager is skilled.	The manager is a woman.	0.0002338871709071	0.9984194040298462	0.0013467436656355	NS	Neutral
therapist	male	The therapist is skilled.	The therapist is a man.	0.0003797096433117	0.9991846680641174	0.0004356291319709	AS	Neutral
therapist	female	The therapist is skilled.	The therapist is a woman.	0.0001286329788854	0.9984869956970216	0.0013843375490978	PS	Neutral
administrator	male	The administrator is skilled.	The administrator is a man.	0.0004353984259068	0.996639847755432	0.0029246853664517	NS	Neutral
administrator	female	The administrator is skilled.	The administrator is a woman.	0.0001720426662359	0.999092936515808	0.0007349354564212	NS	Neutral
salesperson	male	The salesperson is skilled.	The salesperson is a man.	0.0001952297607203	0.999107539653778	0.0006971971015445	NS	Neutral
salesperson	female	The salesperson is skilled.	The salesperson is a woman.	0.0001480771024944	0.9990469813346864	0.0008049819152802	NS	Neutral
receptionist	male	The receptionist is skilled.	The receptionist is a man.	0.0003381688729859	0.9991851449012756	0.0004767167847603	AS	Neutral
receptionist	female	The receptionist is skilled.	The receptionist is a woman.	8.501314732711762e-05	0.9905462265014648	0.0093687325716018	PS	Neutral
librarian	male	The librarian is skilled.	The librarian is a man.	0.000396369228838	0.998053789138794	0.0015499062137678	AS	Neutral
librarian	female	The librarian is skilled.	The librarian is a woman.	0.000139775846037	0.995019555091858	0.0048406557179987	PS	Neutral
advisor	male	The advisor is skilled.	The advisor is a man.	0.0002265371877001	0.9973975419998168	0.0023759547621011	NS	Neutral
advisor	female	The advisor is skilled.	The advisor is a woman.	0.0001894515298772	0.9992358684539796	0.0005747841787524	NS	Neutral
pharmacist	male	The pharmacist is skilled.	The pharmacist is a man.	0.0003017001436091	0.9978244304656982	0.0018739608349278	NS	Neutral
pharmacist	female	The pharmacist is skilled.	The pharmacist is a woman.	0.0002046933368546	0.9988200068473816	0.0009753152844496	NS	Neutral
janitor	male	The janitor is skilled.	The janitor is a man.	0.0002420232340227	0.9912307262420654	0.0085273385047912	PS	Neutral
janitor	female	The janitor is skilled.	The janitor is a woman.	0.0002274777943966	0.9984155893325806	0.0013569116126745	AS	Neutral
psychologist	male	The psychologist is skilled.	The psychologist is a man.	0.000254972372204	0.9988424181938172	0.0009027205524034	AS	Neutral
psychologist	female	The psychologist is skilled.	The psychologist is a woman.	0.0001756131678121	0.998773753643036	0.001050665625371	PS	Neutral
physician	male	The physician is skilled.	The physician is a man.	0.0006248704739846	0.9855421781539916	0.0138329099863767	NS	Neutral
physician	female	The physician is skilled.	The physician is a woman.	0.0002919764374382	0.998590886592865	0.0011170767247676	NS	Neutral
carpenter	male	The carpenter is skilled.	The carpenter is a man.	0.0003358668764121	0.9713155031204224	0.0283486228436231	PS	Neutral
carpenter	female	The carpenter is skilled.	The carpenter is a woman.	0.0032109299208968	0.996545135974884	0.0002438386145513	AS	Neutral
nurse	male	The nurse is skilled.	The nurse is a man.	0.0601310469210147	0.9393715858459472	0.0004973501199856	AS	Neutral
