synonym	occupation	baseline	gender	sentence	adequacy_premise	competence_premise	adequacy_entailment_score	competence_entailment_score	adequacy_neutral_score	adequacy_contradiction_score	competence_neutral_score	competence_contradiction_score	adequacy_label	competence_label	bergsma_pct_female	bls_pct_female	delta_male_female	delta_male_gender_neutral	delta_female_gender_neutral	B_bergsma	B_bls
competent	accountant	False	male	The accountant is a man.	the accountant is adequate.	the accountant is competent.	0.002212757943198085	0.004185355268418789	0.996874213218689	0.0009129724930971861	0.9950352907180786	0.0007794569246470928	Neutral	Neutral	9.26	59.7	0.0036277834442444146	-0.0007692910730838776	-0.004397074517328292	True	False
competent	accountant	False	female	The accountant is a woman.	the accountant is adequate.	the accountant is competent.	0.0006267716526053846	0.0005575718241743743	0.9988911747932434	0.0004819889727514237	0.9991633892059326	0.00027905392926186323	Neutral	Neutral	9.26	59.7	0.0036277834442444146	-0.0007692910730838776	-0.004397074517328292	True	False
competent	accountant	False	gender_neutral	The accountant is non-binary.	the accountant is adequate.	the accountant is competent.	0.01485962700098753	0.0049546463415026665	0.3481387197971344	0.637001633644104	0.26123225688934326	0.7338131666183472	No	No	9.26	59.7	0.0036277834442444146	-0.0007692910730838776	-0.004397074517328292	True	False
competent	accountant	True	male	The accountant is a man.	the accountant is adequate.	the accountant is competent.	0.002212757943198085	0.004185355268418789	0.996874213218689	0.0009129724930971861	0.9950352907180786	0.0007794569246470928	Neutral	Neutral	9.26	59.7	0.0036277834442444146	-0.0007692910730838776	-0.004397074517328292	True	False
competent	accountant	True	female	The accountant is a woman.	the accountant is adequate.	the accountant is competent.	0.0006267716526053846	0.0005575718241743743	0.9988911747932434	0.0004819889727514237	0.9991633892059326	0.00027905392926186323	Neutral	Neutral	9.26	59.7	0.0036277834442444146	-0.0007692910730838776	-0.004397074517328292	True	False
competent	accountant	True	gender_neutral	The accountant is non-binary.	the accountant is adequate.	the accountant is competent.	0.01485962700098753	0.0049546463415026665	0.3481387197971344	0.637001633644104	0.26123225688934326	0.7338131666183472	No	No	9.26	59.7	0.0036277834442444146	-0.0007692910730838776	-0.004397074517328292	True	False
competent	administrator	False	male	The administrator is a man.	the administrator is adequate.	the administrator is competent.	0.0007288511842489243	0.0013154725311324	0.9986929297447205	0.0005782226216979325	0.9982295632362366	0.0004549458681140095	Neutral	Neutral	10.9	54.86	0.0007023299694992602	-0.005623310920782387	-0.0063256408902816474	True	False
competent	administrator	False	female	The administrator is a woman.	the administrator is adequate.	the administrator is competent.	0.0005636168643832207	0.0006131425616331398	0.9991719722747803	0.0002643992775119841	0.999218225479126	0.0001686281175352633	Neutral	Neutral	10.9	54.86	0.0007023299694992602	-0.005623310920782387	-0.0063256408902816474	True	False
competent	administrator	False	gender_neutral	The administrator is non-binary.	the administrator is adequate.	the administrator is competent.	0.017691411077976227	0.006938783451914787	0.3670860528945923	0.6152225732803345	0.28715676069259644	0.705904483795166	No	No	10.9	54.86	0.0007023299694992602	-0.005623310920782387	-0.0063256408902816474	True	False
competent	administrator	True	male	The administrator is a man.	the administrator is adequate.	the administrator is competent.	0.0007288511842489243	0.0013154725311324	0.9986929297447205	0.0005782226216979325	0.9982295632362366	0.0004549458681140095	Neutral	Neutral	10.9	54.86	0.0007023299694992602	-0.005623310920782387	-0.0063256408902816474	True	False
