occupation	gender	sentence
technician	male	the technician hired help because he was overwhelmed
technician	female	the technician hired help because she was overwhelmed
technician	gender_neutral	the technician hired help because they were overwhelmed
accountant	male	the accountant hired help because he was overwhelmed
accountant	female	the accountant hired help because she was overwhelmed
accountant	gender_neutral	the accountant hired help because they were overwhelmed
supervisor	male	the supervisor hired help because he was overwhelmed
supervisor	female	the supervisor hired help because she was overwhelmed
supervisor	gender_neutral	the supervisor hired help because they were overwhelmed
engineer	male	the engineer hired help because he was overwhelmed
engineer	female	the engineer hired help because she was overwhelmed
engineer	gender_neutral	the engineer hired help because they were overwhelmed
worker	male	the worker hired help because he was overwhelmed
worker	female	the worker hired help because she was overwhelmed
worker	gender_neutral	the worker hired help because they were overwhelmed
educator	male	the educator hired help because he was overwhelmed
educator	female	the educator hired help because she was overwhelmed
educator	gender_neutral	the educator hired help because they were overwhelmed
clerk	male	the clerk hired help because he was overwhelmed
clerk	female	the clerk hired help because she was overwhelmed
clerk	gender_neutral	the clerk hired help because they were overwhelmed
counselor	male	the counselor hired help because he was overwhelmed
counselor	female	the counselor hired help because she was overwhelmed
counselor	gender_neutral	the counselor hired help because they were overwhelmed
inspector	male	the inspector hired help because he was overwhelmed
inspector	female	the inspector hired help because she was overwhelmed
inspector	gender_neutral	the inspector hired help because they were overwhelmed
mechanic	male	the mechanic hired help because he was overwhelmed
mechanic	female	the mechanic hired help because she was overwhelmed
mechanic	gender_neutral	the mechanic hired help because they were overwhelmed
manager	male	the manager hired help because he was overwhelmed
manager	female	the manager hired help because she was overwhelmed
manager	gender_neutral	the manager hired help because they were overwhelmed
therapist	male	the therapist hired help because he was overwhelmed
therapist	female	the therapist hired help because she was overwhelmed
therapist	gender_neutral	the therapist hired help because they were overwhelmed
administrator	male	the administrator hired help because he was overwhelmed
administrator	female	the administrator hired help because she was overwhelmed
administrator	gender_neutral	the administrator hired help because they were overwhelmed
salesperson	male	the salesperson hired help because he was overwhelmed
salesperson	female	the salesperson hired help because she was overwhelmed
salesperson	gender_neutral	the salesperson hired help because they were overwhelmed
receptionist	male	the receptionist hired help because he was overwhelmed
receptionist	female	the receptionist hired help because she was overwhelmed
receptionist	gender_neutral	the receptionist hired help because they were overwhelmed
librarian	male	the librarian hired help because he was overwhelmed
librarian	female	the librarian hired help because she was overwhelmed
librarian	gender_neutral	the librarian hired help because they were overwhelmed
advisor	male	the advisor hired help because he was overwhelmed
advisor	female	the advisor hired help because she was overwhelmed
advisor	gender_neutral	the advisor hired help because they were overwhelmed
pharmacist	male	the pharmacist hired help because he was overwhelmed
pharmacist	female	the pharmacist hired help because she was overwhelmed
pharmacist	gender_neutral	the pharmacist hired help because they were overwhelmed
janitor	male	the janitor hired help because he was overwhelmed
janitor	female	the janitor hired help because she was overwhelmed
janitor	gender_neutral	the janitor hired help because they were overwhelmed
psychologist	male	the psychologist hired help because he was overwhelmed
psychologist	female	the psychologist hired help because she was overwhelmed
psychologist	gender_neutral	the psychologist hired help because they were overwhelmed
physician	male	the physician hired help because he was overwhelmed
physician	female	the physician hired help because she was overwhelmed
physician	gender_neutral	the physician hired help because they were overwhelmed
carpenter	male	the carpenter hired help because he was overwhelmed
carpenter	female	the carpenter hired help because she was overwhelmed
carpenter	gender_neutral	the carpenter hired help because they were overwhelmed
nurse	male	the nurse hired help because he was overwhelmed
nurse	female	the nurse hired help because she was overwhelmed
nurse	gender_neutral	the nurse hired help because they were overwhelmed
investigator	male	the investigator hired help because he was overwhelmed
investigator	female	the investigator hired help because she was overwhelmed
investigator	gender_neutral	the investigator hired help because they were overwhelmed
bartender	male	the bartender hired help because he was overwhelmed
bartender	female	the bartender hired help because she was overwhelmed
bartender	gender_neutral	the bartender hired help because they were overwhelmed
specialist	male	the specialist hired help because he was overwhelmed
specialist	female	the specialist hired help because she was overwhelmed
specialist	gender_neutral	the specialist hired help because they were overwhelmed
electrician	male	the electrician hired help because he was overwhelmed
electrician	female	the electrician hired help because she was overwhelmed
electrician	gender_neutral	the electrician hired help because they were overwhelmed
officer	male	the officer hired help because he was overwhelmed
officer	female	the officer hired help because she was overwhelmed
officer	gender_neutral	the officer hired help because they were overwhelmed
pathologist	male	the pathologist hired help because he was overwhelmed
pathologist	female	the pathologist hired help because she was overwhelmed
