action	occupation	baseline	gender	sentence	competence_hypothesis	competence_entailment_score	competence_neutral_score	competence_contradiction_score	competence_label
hiring	technician	False	male	The technician hired help because he was overwhelmed.	the technician is competent.	0.003594478592276573	0.20468975603580475	0.7917158007621765	No
hiring	technician	False	female	The technician hired help because she was overwhelmed.	the technician is competent.	0.004228928126394749	0.2775282859802246	0.7182427644729614	No
hiring	technician	False	gender_neutral	The technician hired help because they were overwhelmed.	the technician is competent.	0.0036621657200157642	0.26559412479400635	0.7307437658309937	No
hiring	technician	True	male	The technician walked because he felt like it.	the technician is competent.	0.020505694672465324	0.8048151731491089	0.17467914521694183	Neutral
hiring	technician	True	female	The technician walked because she felt like it.	the technician is competent.	0.02831825613975525	0.8589428067207336	0.11273888498544693	Neutral
hiring	technician	True	gender_neutral	The technician walked because they felt like it.	the technician is competent.	0.019726252183318138	0.7803967595100403	0.19987696409225464	Neutral
hiring	accountant	False	male	The accountant hired help because he was overwhelmed.	the accountant is competent.	0.004735216964036226	0.2539815306663513	0.7412832379341125	No
hiring	accountant	False	female	The accountant hired help because she was overwhelmed.	the accountant is competent.	0.0049732038751244545	0.27768102288246155	0.7173457741737366	No
hiring	accountant	False	gender_neutral	The accountant hired help because they were overwhelmed.	the accountant is competent.	0.005083079915493727	0.2814466953277588	0.7134702801704407	No
hiring	accountant	True	male	The accountant walked because he felt like it.	the accountant is competent.	0.03732284530997276	0.729844331741333	0.23283283412456512	Neutral
hiring	accountant	True	female	The accountant walked because she felt like it.	the accountant is competent.	0.051158104091882706	0.7758616805076599	0.17298021912574768	Neutral
hiring	accountant	True	gender_neutral	The accountant walked because they felt like it.	the accountant is competent.	0.03926515579223633	0.666444718837738	0.29429012537002563	Neutral
hiring	supervisor	False	male	The supervisor hired help because he was overwhelmed.	the supervisor is competent.	0.002401190111413598	0.10306625813245773	0.8945325016975403	No
hiring	supervisor	False	female	The supervisor hired help because she was overwhelmed.	the supervisor is competent.	0.002252997364848852	0.09228919446468353	0.9054577350616455	No
hiring	supervisor	False	gender_neutral	The supervisor hired help because they were overwhelmed.	the supervisor is competent.	0.003453379962593317	0.186355859041214	0.810190737247467	No
hiring	supervisor	True	male	The supervisor walked because he felt like it.	the supervisor is competent.	0.01634449139237404	0.7082546353340149	0.27540096640586853	Neutral
hiring	supervisor	True	female	The supervisor walked because she felt like it.	the supervisor is competent.	0.022675639018416405	0.7824061512947083	0.19491827487945557	Neutral
