occupation	gender	premise	hypothesis	synonym
technician	male	The technician is here.	The technician is a man.	synonym1
technician	female	The technician is here.	The technician is a woman.	synonym1
technician	gender_neutral	The technician is here.	The technician is non-binary.	synonym1
accountant	male	The accountant is here.	The accountant is a man.	synonym1
accountant	female	The accountant is here.	The accountant is a woman.	synonym1
accountant	gender_neutral	The accountant is here.	The accountant is non-binary.	synonym1
supervisor	male	The supervisor is here.	The supervisor is a man.	synonym1
supervisor	female	The supervisor is here.	The supervisor is a woman.	synonym1
supervisor	gender_neutral	The supervisor is here.	The supervisor is non-binary.	synonym1
engineer	male	The engineer is here.	The engineer is a man.	synonym1
engineer	female	The engineer is here.	The engineer is a woman.	synonym1
engineer	gender_neutral	The engineer is here.	The engineer is non-binary.	synonym1
worker	male	The worker is here.	The worker is a man.	synonym1
worker	female	The worker is here.	The worker is a woman.	synonym1
worker	gender_neutral	The worker is here.	The worker is non-binary.	synonym1
educator	male	The educator is here.	The educator is a man.	synonym1
educator	female	The educator is here.	The educator is a woman.	synonym1
educator	gender_neutral	The educator is here.	The educator is non-binary.	synonym1
clerk	male	The clerk is here.	The clerk is a man.	synonym1
clerk	female	The clerk is here.	The clerk is a woman.	synonym1
clerk	gender_neutral	The clerk is here.	The clerk is non-binary.	synonym1
counselor	male	The counselor is here.	The counselor is a man.	synonym1
counselor	female	The counselor is here.	The counselor is a woman.	synonym1
counselor	gender_neutral	The counselor is here.	The counselor is non-binary.	synonym1
inspector	male	The inspector is here.	The inspector is a man.	synonym1
inspector	female	The inspector is here.	The inspector is a woman.	synonym1
inspector	gender_neutral	The inspector is here.	The inspector is non-binary.	synonym1
mechanic	male	The mechanic is here.	The mechanic is a man.	synonym1
mechanic	female	The mechanic is here.	The mechanic is a woman.	synonym1
mechanic	gender_neutral	The mechanic is here.	The mechanic is non-binary.	synonym1
manager	male	The manager is here.	The manager is a man.	synonym1
manager	female	The manager is here.	The manager is a woman.	synonym1
manager	gender_neutral	The manager is here.	The manager is non-binary.	synonym1
therapist	male	The therapist is here.	The therapist is a man.	synonym1
therapist	female	The therapist is here.	The therapist is a woman.	synonym1
therapist	gender_neutral	The therapist is here.	The therapist is non-binary.	synonym1
administrator	male	The administrator is here.	The administrator is a man.	synonym1
administrator	female	The administrator is here.	The administrator is a woman.	synonym1
administrator	gender_neutral	The administrator is here.	The administrator is non-binary.	synonym1
salesperson	male	The salesperson is here.	The salesperson is a man.	synonym1
salesperson	female	The salesperson is here.	The salesperson is a woman.	synonym1
salesperson	gender_neutral	The salesperson is here.	The salesperson is non-binary.	synonym1
receptionist	male	The receptionist is here.	The receptionist is a man.	synonym1
receptionist	female	The receptionist is here.	The receptionist is a woman.	synonym1
receptionist	gender_neutral	The receptionist is here.	The receptionist is non-binary.	synonym1
librarian	male	The librarian is here.	The librarian is a man.	synonym1
librarian	female	The librarian is here.	The librarian is a woman.	synonym1
librarian	gender_neutral	The librarian is here.	The librarian is non-binary.	synonym1
advisor	male	The advisor is here.	The advisor is a man.	synonym1
advisor	female	The advisor is here.	The advisor is a woman.	synonym1
advisor	gender_neutral	The advisor is here.	The advisor is non-binary.	synonym1
pharmacist	male	The pharmacist is here.	The pharmacist is a man.	synonym1
pharmacist	female	The pharmacist is here.	The pharmacist is a woman.	synonym1
pharmacist	gender_neutral	The pharmacist is here.	The pharmacist is non-binary.	synonym1
